"","State","County","FIPS","X2000","smokerate2000"
"1","AL","autauga county","01001","26.0 (22.3,30.1)",0.26
"2","AL","baldwin county","01003","26.4 (23.2,29.8)",0.264
"3","AL","barbour county","01005","28.4 (24.3,32.8)",0.284
"4","AL","bibb county","01007","29.6 (25.3,34.1)",0.296
"5","AL","blount county","01009","30.2 (26.2,34.9)",0.302
"6","AL","bullock county","01011","28.4 (24.3,32.9)",0.284
"7","AL","butler county","01013","28.4 (24.2,32.7)",0.284
"8","AL","calhoun county","01015","28.1 (24.5,31.6)",0.281
"9","AL","chambers county","01017","29.1 (25.0,33.4)",0.291
"10","AL","cherokee county","01019","29.2 (24.9,33.8)",0.292
"11","AL","chilton county","01021","28.9 (24.8,33.2)",0.289
"12","AL","choctaw county","01023","25.8 (22.0,30.1)",0.258
"13","AL","clarke county","01025","26.0 (22.0,30.6)",0.26
"14","AL","clay county","01027","29.2 (25.0,33.7)",0.292
"15","AL","cleburne county","01029","28.9 (24.7,33.7)",0.289
"16","AL","coffee county","01031","26.2 (22.5,30.1)",0.262
"17","AL","colbert county","01033","27.7 (24.0,31.8)",0.277
"18","AL","conecuh county","01035","27.5 (23.4,31.5)",0.275
"19","AL","coosa county","01037","28.3 (24.1,32.3)",0.283
"20","AL","covington county","01039","28.7 (24.7,32.9)",0.287
"21","AL","crenshaw county","01041","28.0 (23.8,33.2)",0.28
"22","AL","cullman county","01043","30.2 (26.4,34.5)",0.302
"23","AL","dale county","01045","27.0 (23.3,31.0)",0.27
"24","AL","dallas county","01047","27.5 (23.4,32.3)",0.275
"25","AL","dekalb county","01049","29.4 (25.5,34.3)",0.294
"26","AL","elmore county","01051","26.2 (22.4,30.0)",0.262
"27","AL","escambia county","01053","30.4 (26.1,34.7)",0.304
"28","AL","etowah county","01055","29.9 (26.2,33.9)",0.299
"29","AL","fayette county","01057","29.2 (24.9,34.1)",0.292
"30","AL","franklin county","01059","29.4 (25.4,34.3)",0.294
"31","AL","geneva county","01061","30.1 (25.9,34.5)",0.301
"32","AL","greene county","01063","25.6 (21.4,30.1)",0.256
"33","AL","hale county","01065","27.0 (23.1,31.3)",0.27
"34","AL","henry county","01067","26.1 (21.9,30.3)",0.261
"35","AL","houston county","01069","26.6 (23.0,30.3)",0.266
"36","AL","jackson county","01071","31.5 (27.4,35.9)",0.315
"37","AL","jefferson county","01073","25.5 (23.3,28.0)",0.255
"38","AL","lamar county","01075","28.9 (24.4,33.5)",0.289
"39","AL","lauderdale county","01077","26.3 (22.6,30.2)",0.263
"40","AL","lawrence county","01079","30.5 (26.3,35.2)",0.305
"41","AL","lee county","01081","22.4 (19.4,25.8)",0.224
"42","AL","limestone county","01083","28.0 (24.4,31.9)",0.28
"43","AL","lowndes county","01085","26.1 (22.2,30.7)",0.261
"44","AL","macon county","01087","23.6 (19.9,27.5)",0.236
"45","AL","madison county","01089","23.2 (20.3,26.3)",0.232
"46","AL","marengo county","01091","26.4 (22.3,30.4)",0.264
"47","AL","marion county","01093","30.2 (26.3,34.5)",0.302
"48","AL","marshall county","01095","31.2 (27.2,35.3)",0.312
"49","AL","mobile county","01097","27.5 (24.8,30.5)",0.275
"50","AL","monroe county","01099","27.5 (23.4,32.2)",0.275
"51","AL","montgomery county","01101","22.6 (19.9,25.7)",0.226
"52","AL","morgan county","01103","30.3 (26.2,33.9)",0.303
"53","AL","perry county","01105","26.3 (22.1,30.8)",0.263
"54","AL","pickens county","01107","26.0 (22.2,30.1)",0.26
"55","AL","pike county","01109","25.3 (21.6,29.3)",0.253
"56","AL","randolph county","01111","29.5 (25.5,34.3)",0.295
"57","AL","russell county","01113","29.3 (25.2,33.7)",0.293
"58","AL","shelby county","01117","21.1 (18.4,24.4)",0.211
"59","AL","st. clair county","01115","29.9 (25.9,34.2)",0.299
"60","AL","sumter county","01119","24.9 (20.8,29.4)",0.249
"61","AL","talladega county","01121","29.1 (25.5,33.2)",0.291
"62","AL","tallapoosa county","01123","27.4 (23.6,31.4)",0.274
"63","AL","tuscaloosa county","01125","24.1 (21.3,27.4)",0.241
"64","AL","walker county","01127","31.8 (27.8,36.2)",0.318
"65","AL","washington county","01129","27.3 (23.4,32.0)",0.273
"66","AL","wilcox county","01131","27.2 (23.0,31.7)",0.272
"67","AL","winston county","01133","30.8 (26.0,35.3)",0.308
"68","AR","arkansas county","05001","29.5 (25.5,33.9)",0.295
"69","AR","ashley county","05003","29.9 (25.7,34.5)",0.299
"70","AR","baxter county","05005","31.2 (26.9,35.3)",0.312
"71","AR","benton county","05007","27.4 (24.2,30.4)",0.274
"72","AR","boone county","05009","29.6 (25.7,33.9)",0.296
"73","AR","bradley county","05011","28.9 (25.1,33.5)",0.289
"74","AR","calhoun county","05013","29.9 (25.7,34.4)",0.299
