,Lung Cancer
2002,104.8
1917,93.4
802,58.1
20,74.3
284,89.4
1036,67.8
884,107.9
2093,64.1
1472,83.4
878,110.6
995,80.2
2070,75.4
2177,103.4
3,86.4
2323,56.8
2568,57.2
537,59.0
11,50.2
846,119.9
1252,91.4
499,25.5
1957,82.0
1968,88.9
1753,61.9
1486,67.7
842,101.9
785,62.7
2419,50.7
2258,28.1
2372,45.2
344,90.4
959,61.1
22,79.0
2286,38.6
1038,97.6
201,57.3
1915,74.8
125,80.1
812,65.4
1230,72.3
1914,54.6
708,60.9
2219,59.9
465,76.8
346,80.1
1875,56.7
2441,52.0
408,63.7
319,54.9
1171,66.1
427,60.9
1211,68.1
910,93.7
2443,56.1
2586,56.0
326,63.6
1026,78.5
382,81.8
1687,61.2
156,89.1
619,88.6
1842,66.5
446,87.5
1197,76.5
1270,58.4
2511,66.1
2226,35.2
1461,65.7
2105,65.4
116,94.5
2486,66.8
929,104.8
547,94.8
1257,36.1
1671,88.5
844,79.3
1598,57.4
1894,72.7
1778,64.5
1551,48.6
1851,70.1
2113,82.6
1965,79.4
2338,82.3
903,121.4
2032,90.1
1887,72.5
817,35.2
2194,68.5
1984,90.6
856,139.5
393,77.7
1723,79.6
753,69.6
2395,73.1
265,69.1
1035,46.3
526,35.1
296,77.9
295,73.0
429,66.8
2563,59.9
2501,83.5
155,115.3
2561,59.3
982,76.7
65,71.6
1828,68.4
2282,66.2
105,66.3
896,90.4
2298,64.4
1505,81.7
467,69.3
614,77.3
1116,67.0
2196,98.8
476,83.5
1476,71.0
1809,69.7
2509,76.2
35,80.6
2245,37.9
1235,81.3
1213,68.3
2114,48.5
245,46.7
299,69.4
475,74.7
696,95.5
2086,83.1
2091,63.0
1495,53.6
31,84.7
1738,81.7
2006,70.9
831,72.1
422,70.3
756,58.0
285,55.7
2000,91.4
2326,83.4
1315,69.6
1188,92.3
2418,43.3
2170,58.2
1365,78.0
139,81.2
359,81.5
1595,63.6
349,67.5
494,65.4
1287,53.1
1521,60.0
440,92.7
2433,52.3
119,98.1
997,90.9
405,36.5
1873,63.1
1667,85.8
2064,52.4
1033,58.5
2524,55.2
629,58.8
928,86.1
2260,36.6
1898,81.4
527,67.5
354,80.1
1862,74.9
2188,76.2
334,71.0
1747,70.8
700,69.1
2192,86.7
304,44.5
858,96.3
1378,52.3
1706,78.7
1805,75.7
2363,79.1
2248,42.4
1807,64.9
656,83.6
2579,56.1
1985,73.3
2314,88.6
26,76.7
1545,93.4
897,107.7
645,64.1
760,64.2
1684,66.0
1650,69.9
1372,73.2
196,42.7
95,66.4
2295,82.7
1125,90.1
967,82.4
2029,110.8
1263,57.7
2096,82.5
49,59.2
1222,65.2
1936,67.1
1362,64.2
1769,68.9
2183,83.0
1536,58.0
565,75.7
2087,63.2
2471,103.2
747,48.0
1127,82.2
126,82.7
